,c1_meta,c1_title,c1_imgurl,c2_meta,c2_title,c2_imgurl,c3_meta,c3_title,c3_imgurl
141,gourmet-world-food,Gourmet World Food,,snacks-dry-fruits-nuts,Snacks Dry Fruits Nuts,,,,
142,baby-care,Baby Care,,baby-food-formula,Baby Food Formula,,organic-baby-food,Organic Baby Food,
143,gourmet-world-food,Gourmet World Food,,cereals-breakfast,Cereals Breakfast,,muesli-rice-cakes,Muesli Rice Cakes,
144,kitchen-garden-pets,Kitchen Garden Pets,,gardening,Gardening,,fertilizers-pesticides,Fertilizers Pesticides,
145,foodgrains-oil-masala,Foodgrains Oil Masala,,masalas-spices,Masalas Spices,,whole-spices,Whole Spices,
146,cleaning-household,Cleaning Household,,party-festive-needs,Party Festive Needs,,seasonal-accessories,Seasonal Accessories,
147,gourmet-world-food,Gourmet World Food,,dairy-cheese,Dairy Cheese,,flavoured-greek-yogurt,Flavoured Greek Yogurt,
148,beauty-hygiene,Beauty Hygiene,,health-medicine,Health Medicine,,adult-diapers,Adult Diapers,
149,gourmet-world-food,Gourmet World Food,,cooking-baking-needs,Cooking Baking Needs,,exotic-sugar-salt,Exotic Sugar Salt,
150,bakery-cakes-dairy,Bakery Cakes Dairy,,cakes-pastries,Cakes Pastries,,birthday-party-cakes,Birthday Party Cakes,
151,cleaning-household,Cleaning Household,,disposables-garbage-bag,Disposables Garbage Bag,,wet-wipe-pocket-tissues,Wet Wipe Pocket Tissues,
152,gourmet-world-food,Gourmet World Food,,oils-vinegar,Oils Vinegar,,canola-rapeseed-oil,Canola Rapeseed Oil,
153,gourmet-world-food,Gourmet World Food,,sauces-spreads-dips,Sauces Spreads Dips,,,,
154,baby-care,Baby Care,,baby-toiletries,Baby Toiletries,,baby-bath,Baby Bath,
155,snacks-branded-foods,Snacks Branded Foods,,noodle-pasta-vermicelli,Noodle Pasta Vermicelli,,cup-noodles,Cup Noodles,
156,kitchen-garden-pets,Kitchen Garden Pets,,gardening,Gardening,,,,
157,foodgrains-oil-masala,Foodgrains Oil Masala,,rice-rice-products,Rice Rice Products,,poha-sabudana-murmura,Poha Sabudana Murmura,
158,cleaning-household,Cleaning Household,,fresheners-repellents,Fresheners Repellents,,,,
159,eggs-meat-fish,Eggs Meat Fish,,poultry,Poultry,,turkey,Turkey,
160,beauty-hygiene,Beauty Hygiene,,bath-face-hand-wash,Bath Face Hand Wash,,,,
161,bakery-cakes-dairy,Bakery Cakes Dairy,,bakery-snacks,Bakery Snacks,,,,
162,fruits-vegetables,Fruits Vegetables,,herbs-seasonings,Herbs Seasonings,,,,
163,snacks-branded-foods,Snacks Branded Foods,,noodle-pasta-vermicelli,Noodle Pasta Vermicelli,,instant-noodles,Instant Noodles,
164,fruits-vegetables,Fruits Vegetables,,fresh-vegetables,Fresh Vegetables,,cabbage-cauliflower,Cabbage Cauliflower,
165,gourmet-world-food,Gourmet World Food,,chocolates-biscuits,Chocolates Biscuits,,international-chocolates,International Chocolates,
166,beauty-hygiene,Beauty Hygiene,,makeup,Makeup,,makeup-kits,Makeup Kits,
167,foodgrains-oil-masala,Foodgrains Oil Masala,,organic-staples,Organic Staples,,organic-flours,Organic Flours,
168,baby-care,Baby Care,,baby-toiletries,Baby Toiletries,,baby-gift-sets,Baby Gift Sets,
169,cleaning-household,Cleaning Household,,stationery,Stationery,,erasers-sharpeners,Erasers Sharpeners,
170,gourmet-world-food,Gourmet World Food,,snacks-dry-fruits-nuts,Snacks Dry Fruits Nuts,,trail-cocktail-mixes,Trail Cocktail Mixes,
171,cleaning-household,Cleaning Household,,bins-bathroom-ware,Bins Bathroom Ware,,dustbins,Dustbins,
172,snacks-branded-foods,Snacks Branded Foods,,biscuits-cookies,Biscuits Cookies,,glucose-milk-biscuits,Glucose Milk Biscuits,
173,foodgrains-oil-masala,Foodgrains Oil Masala,,dry-fruits,Dry Fruits,,,,
174,beauty-hygiene,Beauty Hygiene,,feminine-hygiene,Feminine Hygiene,,feminine-hygiene-wash,Feminine Hygiene Wash,
175,gourmet-world-food,Gourmet World Food,,chocolates-biscuits,Chocolates Biscuits,,crackers-digestive,Crackers Digestive,
176,eggs-meat-fish,Eggs Meat Fish,,mutton-lamb,Mutton Lamb,,fresh-mutton,Fresh Mutton,
177,baby-care,Baby Care,,mothers-maternity,Mothers Maternity,,maternity-personal-care,Maternity Personal Care,
178,fruits-vegetables,Fruits Vegetables,,fresh-vegetables,Fresh Vegetables,,beans-brinjals-okra,Beans Brinjals Okra,
179,fruits-vegetables,Fruits Vegetables,,fresh-vegetables,Fresh Vegetables,,potato-onion-tomato,Potato Onion Tomato,
180,cleaning-household,Cleaning Household,,pooja-needs,Pooja Needs,,other-pooja-needs,Other Pooja Needs,
181,kitchen-garden-pets,Kitchen Garden Pets,,appliances-electricals,Appliances Electricals,,grills-toasters,Grills Toasters,
182,kitchen-garden-pets,Kitchen Garden Pets,,kitchen-accessories,Kitchen Accessories,,strainer-ladle-spatula,Strainer Ladle Spatula,
183,kitchen-garden-pets,Kitchen Garden Pets,,appliances-electricals,Appliances Electricals,,battery-electrical,Battery Electrical,
184,beverages,Beverages,,fruit-juices-drinks,Fruit Juices Drinks,,unsweetened-cold-press,Unsweetened Cold Press,
185,fruits-vegetables,Fruits Vegetables,,flower-bouquets-bunches,Flower Bouquets Bunches,,marigold,Marigold,
186,fruits-vegetables,Fruits Vegetables,,flower-bouquets-bunches,Flower Bouquets Bunches,,roses,Roses,
187,baby-care,Baby Care,,baby-food-formula,Baby Food Formula,,,,
188,cleaning-household,Cleaning Household,,all-purpose-cleaners,All Purpose Cleaners,,imported-cleaners,Imported Cleaners,
189,eggs-meat-fish,Eggs Meat Fish,,eggs,Eggs,,farm-eggs,Farm Eggs,
190,eggs-meat-fish,Eggs Meat Fish,,pork-other-meats,Pork Other Meats,,,,
191,kitchen-garden-pets,Kitchen Garden Pets,,kitchen-accessories,Kitchen Accessories,,,,
192,snacks-branded-foods,Snacks Branded Foods,,frozen-veggies-snacks,Frozen Veggies Snacks,,frozen-vegetables,Frozen Vegetables,
193,snacks-branded-foods,Snacks Branded Foods,,biscuits-cookies,Biscuits Cookies,,salted-biscuits,Salted Biscuits,
194,kitchen-garden-pets,Kitchen Garden Pets,,appliances-electricals,Appliances Electricals,,coffee-maker-kettles,Coffee Maker Kettles,
195,gourmet-world-food,Gourmet World Food,,pasta-soup-noodles,Pasta Soup Noodles,,jasmine-sushi-rice,Jasmine Sushi Rice,
196,foodgrains-oil-masala,Foodgrains Oil Masala,,atta-flours-sooji,Atta Flours Sooji,,,,
197,gourmet-world-food,Gourmet World Food,,pasta-soup-noodles,Pasta Soup Noodles,,imported-soups,Imported Soups,
