,c1_meta,c1_title,c1_imgurl,c2_meta,c2_title,c2_imgurl,c3_meta,c3_title,c3_imgurl
499,bakery-cakes-dairy,Bakery Cakes Dairy,,dairy,Dairy,,,,
500,cleaning-household,Cleaning Household,,party-festive-needs,Party Festive Needs,,holi-colours-pichkari,Holi Colours Pichkari,
501,beauty-hygiene,Beauty Hygiene,,skin-care,Skin Care,,,,
502,beverages,Beverages,,energy-soft-drinks,Energy Soft Drinks,,,,
503,beverages,Beverages,,water,Water,,flavoured-water,Flavoured Water,
504,snacks-branded-foods,Snacks Branded Foods,,breakfast-cereals,Breakfast Cereals,,kids-cereal,Kids Cereal,
505,baby-care,Baby Care,,baby-toiletries,Baby Toiletries,,baby-powder,Baby Powder,
506,kitchen-garden-pets,Kitchen Garden Pets,,crockery-cutlery,Crockery Cutlery,,cutlery-spoon-fork,Cutlery Spoon Fork,
507,foodgrains-oil-masala,Foodgrains Oil Masala,,dry-fruits,Dry Fruits,,mukhwas,Mukhwas,
508,snacks-branded-foods,Snacks Branded Foods,,ready-to-cook-eat,Ready To Cook Eat,,home-baking,Home Baking,
509,beauty-hygiene,Beauty Hygiene,,bath-face-hand-wash,Bath Face Hand Wash,,bath-accessories,Bath Accessories,
510,fruits-vegetables,Fruits Vegetables,,fresh-fruits,Fresh Fruits,,kiwi-melon-citrus-fruit,Kiwi Melon Citrus Fruit,
511,beauty-hygiene,Beauty Hygiene,,deodorant-fragrance,Deodorant Fragrance,,mens-deos,Mens Deos,
512,beauty-hygiene,Beauty Hygiene,,skin-care,Skin Care,,facial-tissues-wipes,Facial Tissues Wipes,
513,snacks-branded-foods,Snacks Branded Foods,,frozen-veggies-snacks,Frozen Veggies Snacks,,frozen-non-veg-snacks,Frozen Non Veg Snacks,
514,bakery-cakes-dairy,Bakery Cakes Dairy,,dairy,Dairy,,cheese,Cheese,
515,cleaning-household,Cleaning Household,,detergents-dishwash,Detergents Dishwash,,fabric-pre-post-wash,Fabric Pre Post Wash,
516,foodgrains-oil-masala,Foodgrains Oil Masala,,masalas-spices,Masalas Spices,,herbs-seasoning,Herbs Seasoning,
517,beverages,Beverages,,health-drink-supplement,Health Drink Supplement,,diabetic-drinks,Diabetic Drinks,
518,gourmet-world-food,Gourmet World Food,,dairy-cheese,Dairy Cheese,,butter-cream,Butter Cream,
